               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10669,            0.060367,            0.023809,             0.56381,              0.2143,             0.18141,            0.083127,            0.093505,            0.064545,            0.016132,           0.0033329,           0.0033329,            0.070004
                   1,            0.095965,            0.064018,            0.016356,             0.66366,             0.22901,              0.2463,             0.11692,            0.090064,            0.064216,            0.014334,           0.0065342,           0.0065342,            0.039872
                   2,            0.094144,            0.064365,            0.015364,             0.66531,             0.24738,             0.27108,             0.13088,            0.088402,            0.064126,            0.013613,           0.0096035,           0.0096035,           0.0096083
